Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,104.034,104.322,103.431,104.025,839000,0.0,0.0
2017-01-04,104.35,105.38,104.127,105.167,962400,0.0,0.0
2017-01-05,104.851,105.399,104.238,105.324,792300,0.0,0.0
2017-01-06,105.779,106.587,105.389,106.132,642000,0.0,0.0
2017-01-09,105.723,106.048,105.25,105.25,727100,0.0,0.0
2017-01-10,105.232,105.64,104.424,104.535,844200,0.0,0.0
2017-01-11,104.313,104.786,103.617,104.573,1079500,0.0,0.0
2017-01-12,103.979,104.684,103.44,104.573,695200,0.0,0.0
2017-01-13,104.916,105.631,104.916,105.148,598500,0.0,0.0
2017-01-17,104.675,105.872,104.183,105.454,901500,0.0,0.0
2017-01-18,105.807,106.02,105.102,105.853,960300,0.0,0.0
2017-01-19,106.104,106.735,104.183,104.211,1982600,0.0,0.0
2017-01-20,104.415,104.6,103.32,104.016,1580000,0.0,0.0
2017-01-23,103.923,104.294,103.301,103.672,763600,0.0,0.0
2017-01-24,104.192,104.619,103.784,104.146,1251500,0.0,0.0
2017-01-25,104.879,105.259,104.062,104.73,1361400,0.0,0.0
2017-01-26,104.823,105.148,104.498,104.832,930400,0.0,0.0
2017-01-27,105.046,105.241,104.313,105.241,854300,0.0,0.0
2017-01-30,105.045,105.045,103.221,104.319,876200,0.33,0.0
2017-01-31,104.198,104.915,103.77,104.906,1199300,0.0,0.0
2017-02-01,104.952,104.989,103.342,103.481,1750800,0.0,0.0
2017-02-02,102.951,104.729,102.225,104.701,1334400,0.0,0.0
2017-02-03,104.98,106.33,104.44,106.172,1426600,0.0,0.0
2017-02-06,105.436,106.47,105.204,106.19,783000,0.0,0.0
2017-02-07,106.684,106.712,106.134,106.348,808700,0.0,0.0
2017-02-08,105.846,106.516,105.39,106.451,752800,0.0,0.0
2017-02-09,106.451,107.233,106.395,107.205,1028400,0.0,0.0
2017-02-10,109.262,109.616,106.116,107.596,1213000,0.0,0.0
2017-02-13,107.54,108.126,107.307,107.856,950200,0.0,0.0
2017-02-14,107.689,108.015,107.009,107.838,793100,0.0,0.0
2017-02-15,107.735,108.629,107.326,108.499,739700,0.0,0.0
2017-02-16,108.629,109.243,108.396,109.169,719400,0.0,0.0
2017-02-17,108.806,109.504,107.884,109.402,962700,0.0,0.0
2017-02-21,109.094,109.653,107.251,107.577,1471100,0.0,0.0
2017-02-22,107.614,108.378,106.972,107.605,1090400,0.0,0.0
