Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,307.531,310.277,305.715,308.762,411500,0.0,0.0
2017-01-04,308.599,316.147,307.368,314.951,644300,0.0,0.0
2017-01-05,315.209,318.471,312.601,318.256,492900,0.0,0.0
2017-01-06,318.42,321.131,316.655,318.893,458400,0.0,0.0
2017-01-09,318.893,322.904,316.896,321.217,568300,0.0,0.0
2017-01-10,321.492,321.492,316.758,318.497,450000,0.0,0.0
2017-01-11,317.765,322.603,317.344,319.831,547300,0.0,0.0
2017-01-12,319.693,322.56,317.438,322.043,453400,0.0,0.0
2017-01-13,321.604,324.669,320.365,322.732,260000,0.0,0.0
2017-01-17,322.577,326.14,321.312,323.748,363200,0.0,0.0
2017-01-18,324.6,326.132,322.818,324.264,353100,0.0,0.0
2017-01-19,324.264,328.766,323.059,328.068,628200,0.0,0.0
2017-01-20,328.791,330.057,327.561,329.893,397500,0.0,0.0
2017-01-23,329.351,333.448,328.292,331.684,533200,0.0,0.0
2017-01-24,332.673,335.66,330.573,335.393,401700,0.0,0.0
2017-01-25,335.092,336.134,329.781,330.892,597400,0.0,0.0
2017-01-26,329.91,333.388,329.274,330.702,507500,0.0,0.0
2017-01-27,331.606,331.83,328.8,329.626,353000,0.0,0.0
2017-01-30,328.705,332.622,327.836,332.561,313000,0.0,0.0
2017-01-31,332.63,333.896,330.272,331.365,333600,0.0,0.0
2017-02-01,331.382,332.932,327.836,328.197,471800,0.0,0.0
2017-02-02,328.731,331.701,327.354,329.73,339000,0.0,0.0
2017-02-03,331.718,332.587,330.599,331.227,286200,0.0,0.0
2017-02-06,331.606,331.985,328.163,328.516,380500,0.0,0.0
2017-02-07,328.688,330.134,327.354,327.629,383500,0.0,0.0
2017-02-08,328.482,330.883,327.431,330.496,466600,0.0,0.0
2017-02-09,330.892,333.216,329.248,332.071,471100,0.0,0.0
2017-02-10,332.975,333.517,330.814,332.63,334100,0.0,0.0
2017-02-13,334.223,334.223,331.219,332.837,339200,0.0,0.0
2017-02-14,333.018,333.018,327.199,329.351,329100,0.0,0.0
2017-02-15,326.898,330.186,326.003,327.733,457200,0.0,0.0
2017-02-16,322.775,330.616,318.179,321.208,1233800,0.0,0.0
2017-02-17,321.785,325.882,319.848,322.155,606200,0.0,0.0
2017-02-21,321.088,324.496,317.266,319.625,695800,0.0,0.0
2017-02-22,319.478,321.725,318.29,321.329,509400,0.0,0.0
2017-02-23,323.068,324.513,318.949,320.922,569800,2.0,0.0
2017-02-24,321.216,328.667,320.178,328.529,593700,0.0,0.0
2017-02-27,328.728,329.931,326.106,326.452,356600,0.0,0.0
2017-02-28,326.296,329.264,325.024,325.439,433800,0.0,0.0
2017-03-01,325.362,329.879,323.163,327.101,490100,0.0,0.0
2017-03-02,327.11,327.3,322.445,322.549,602700,0.0,0.0
2017-03-03,321.208,325.214,320.948,325.111,331500,0.0,0.0
2017-03-06,321.528,327.611,321.528,326.72,365000,0.0,0.0
2017-03-07,326.746,327.421,323.665,324.721,264100,0.0,0.0
2017-03-08,324.886,324.886,313.177,314.501,781500,0.0,0.0
2017-03-09,314.994,325.803,314.994,325.388,3219700,0.0,0.0
2017-03-10,326.937,329.282,323.345,328.113,1249700,0.0,0.0
2017-03-13,329.896,333.842,328.157,329.117,1226200,0.0,0.0
2017-03-14,329.264,333.297,328.139,330.034,817700,0.0,0.0
2017-03-15,330.286,333.583,328.096,332.111,663000,0.0,0.0
2017-03-16,332.189,332.319,325.846,327.257,743100,0.0,0.0
2017-03-17,327.551,327.811,324.323,325.067,1162600,0.0,0.0
2017-03-20,326.011,333.47,325.465,331.93,964600,0.0,0.0
2017-03-21,333.903,338.697,331.03,331.791,833400,0.0,0.0
2017-03-22,331.964,336.135,331.575,335.305,551100,0.0,0.0
2017-03-23,334.855,340.021,333.851,335.807,718200,0.0,0.0
2017-03-24,338.065,339.597,332.371,335.841,1714600,0.0,0.0
2017-03-27,333.167,334.413,330.277,332.302,643800,0.0,0.0
2017-03-28,332.492,334.699,331.661,333.046,403400,0.0,0.0
2017-03-29,334.076,341.362,332.942,340.955,588900,0.0,0.0
2017-03-30,340.159,344.417,339.052,343.673,482800,0.0,0.0
2017-03-31,342.695,349.28,342.236,346.468,969400,0.0,0.0
2017-04-03,346.961,349.029,343.751,348.285,537800,0.0,0.0
2017-04-04,348.424,348.424,344.685,346.13,423700,0.0,0.0
2017-04-05,345.377,350.076,344.564,346.182,414100,0.0,0.0
2017-04-06,345.646,348.735,344.867,348.034,337900,0.0,0.0
2017-04-07,348.64,349.678,347.229,347.654,424700,0.0,0.0
2017-04-10,347.437,348.311,345.343,346.952,418000,0.0,0.0
2017-04-11,346.355,347.558,343.655,346.009,450100,0.0,0.0
2017-04-12,345.144,346.606,343.5,345.94,487900,0.0,0.0
2017-04-13,346.407,347.878,344.893,345.378,366700,0.0,0.0
2017-04-17,345.248,348.761,345.248,348.752,388300,0.0,0.0
2017-04-18,348.077,349.817,347.238,348.701,285600,0.0,0.0
2017-04-19,348.96,350.146,347.134,349.575,325500,0.0,0.0
2017-04-20,350.18,352.681,347.671,350.587,459000,0.0,0.0
2017-04-21,350.829,350.976,347.264,347.74,462700,0.0,0.0
2017-04-24,350.578,351.747,344.945,349.635,539600,0.0,0.0
2017-04-25,349.869,352.084,348.917,351.816,457000,0.0,0.0
2017-04-26,352.448,354.689,350.085,352.491,556100,0.0,0.0
