Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,56.595,57.424,56.285,57.382,2231600,0.0,0.0
2017-01-04,57.441,57.625,56.813,57.081,1635000,0.0,0.0
2017-01-05,56.989,57.315,55.766,56.394,2393900,0.0,0.0
2017-01-06,56.612,57.324,56.52,56.947,2590000,0.0,0.0
2017-01-09,57.34,57.365,55.984,56.001,2704400,0.0,0.0
2017-01-10,56.277,56.553,55.908,56.277,2214500,0.0,0.0
2017-01-11,56.059,57.349,55.908,57.324,2126400,0.0,0.0
2017-01-12,57.265,57.273,56.227,57.106,1357100,0.0,0.0
2017-01-13,57.24,57.725,57.231,57.491,1264700,0.0,0.0
2017-01-17,57.223,57.24,56.335,56.57,1697700,0.0,0.0
2017-01-18,56.679,56.938,56.436,56.771,1651300,0.0,0.0
2017-01-19,57.047,57.349,56.335,56.712,1431100,0.0,0.0
2017-01-20,56.955,57.357,56.578,56.88,1559900,0.0,0.0
2017-01-23,56.871,57.072,56.084,56.721,1195900,0.0,0.0
2017-01-24,56.98,58.044,56.729,57.918,2044400,0.0,0.0
2017-01-25,58.312,59.685,58.312,59.601,3278100,0.0,0.0
2017-01-26,59.3,60.02,58.889,59.71,2249900,0.0,0.0
2017-01-27,59.559,59.777,59.291,59.408,1899800,0.0,0.0
2017-01-30,59.467,59.467,58.345,58.956,2034900,0.0,0.0
2017-01-31,58.688,59.375,58.169,59.266,3016700,0.0,0.0
2017-02-01,59.425,60.045,58.847,59.71,3919500,0.0,0.0
2017-02-02,59.191,60.288,58.119,58.63,4690700,0.0,0.0
2017-02-03,58.889,59.224,58.286,58.797,2946200,0.0,0.0
2017-02-06,58.705,58.873,58.161,58.596,2548200,0.0,0.0
2017-02-07,58.889,59.534,58.722,58.814,2221400,0.0,0.0
2017-02-08,58.63,58.814,58.152,58.588,2304700,0.0,0.0
2017-02-09,58.588,59.676,58.588,59.275,2204400,0.0,0.0
2017-02-10,59.475,59.593,59.283,59.45,1946100,0.0,0.0
2017-02-13,59.71,60.505,59.71,60.455,2537100,0.0,0.0
2017-02-14,60.288,60.447,59.936,60.296,2083900,0.0,0.0
2017-02-15,60.338,60.522,60.02,60.371,1971800,0.0,0.0
2017-02-16,60.321,60.489,59.651,60.103,2081000,0.0,0.0
2017-02-17,59.903,59.978,59.358,59.978,2356700,0.0,0.0
2017-02-21,59.986,60.413,59.936,60.196,1903500,0.0,0.0
2017-02-22,60.02,60.907,59.886,60.706,2315200,0.0,0.0
2017-02-23,60.974,61.058,60.078,60.388,2237900,0.0,0.0
2017-02-24,59.903,60.614,59.559,60.614,2528800,0.0,0.0
2017-02-27,60.464,60.874,60.388,60.581,2287700,0.0,0.0
2017-02-28,60.581,60.782,60.045,60.271,2504200,0.0,0.0
2017-03-01,60.966,61.845,60.966,61.326,2653600,0.0,0.0
2017-03-02,61.351,61.41,60.6,60.879,2236600,0.6,0.0
2017-03-03,60.98,61.157,60.279,60.727,2024900,0.0,0.0
2017-03-06,60.127,60.887,60.009,60.651,2711700,0.0,0.0
2017-03-07,60.482,60.786,60.313,60.397,1391900,0.0,0.0
2017-03-08,60.448,61.073,60.38,60.642,2008700,0.0,0.0
2017-03-09,60.549,60.887,60.136,60.448,2473200,0.0,0.0
2017-03-10,60.819,61.284,60.786,61.199,2131100,0.0,0.0
2017-03-13,61.351,61.613,61.09,61.419,1832600,0.0,0.0
2017-03-14,60.954,61.064,60.347,60.634,1394800,0.0,0.0
2017-03-15,60.887,62.542,60.803,62.44,2435600,0.0,0.0
2017-03-16,62.255,62.77,61.706,61.925,2412600,0.0,0.0
2017-03-17,62.196,62.339,61.554,61.841,3245300,0.0,0.0
2017-03-20,61.858,62.272,61.52,61.942,1560500,0.0,0.0
2017-03-21,62.12,62.491,60.659,60.777,2315300,0.0,0.0
2017-03-22,60.752,61.478,60.6,61.242,1989900,0.0,0.0
2017-03-23,61.25,61.833,60.997,61.444,1653900,0.0,0.0
2017-03-24,61.469,61.984,61.258,61.495,2612400,0.0,0.0
2017-03-27,61.25,61.605,60.33,61.36,2225400,0.0,0.0
2017-03-28,61.09,62.297,60.853,61.875,1700200,0.0,0.0
2017-03-29,62.077,62.82,61.807,62.423,2492300,0.0,0.0
2017-03-30,62.288,62.922,62.086,62.643,2111100,0.0,0.0
2017-03-31,62.305,63.006,62.196,62.601,2011500,0.0,0.0
2017-04-03,62.744,63.141,61.984,62.609,2813200,0.0,0.0
2017-04-04,62.736,63.386,62.432,63.217,2783400,0.0,0.0
2017-04-05,63.546,64.467,62.761,63.023,2770700,0.0,0.0
2017-04-06,63.183,63.529,62.896,63.09,1592500,0.0,0.0
2017-04-07,62.913,63.259,62.643,62.955,1790900,0.0,0.0
2017-04-10,63.141,64.492,62.998,63.825,2959700,0.0,0.0
2017-04-11,63.58,63.665,62.972,63.648,2105200,0.0,0.0
2017-04-12,63.808,64.163,62.44,62.677,3322200,0.0,0.0
2017-04-13,62.55,62.761,62.06,62.06,1405800,0.0,0.0
2017-04-17,62.356,62.727,62.018,62.711,1372100,0.0,0.0
2017-04-18,62.322,63.031,62.322,62.871,1744000,0.0,0.0
2017-04-19,63.217,63.47,62.069,62.162,2223900,0.0,0.0
2017-04-20,62.499,62.989,62.272,62.499,3645000,0.0,0.0
2017-04-21,62.668,62.854,62.162,62.347,2637100,0.0,0.0
2017-04-24,63.344,63.859,63.048,63.724,2875200,0.0,0.0
2017-04-25,64.222,64.948,64.028,64.602,3044700,0.0,0.0
2017-04-26,64.737,65.336,64.661,64.77,2014500,0.0,0.0
2017-04-27,64.754,65.1,64.382,64.576,2073400,0.0,0.0
2017-04-28,64.551,64.678,63.715,63.859,2351100,0.0,0.0
2017-05-01,64.078,64.576,63.453,64.272,4044200,0.0,0.0
2017-05-02,65.632,66.957,64.475,65.1,4359600,0.0,0.0
2017-05-03,64.998,65.049,64.479,64.947,2748300,0.6,0.0
2017-05-04,65.125,65.176,64.342,64.53,2513900,0.0,0.0
2017-05-05,64.759,65.423,64.581,65.398,2160100,0.0,0.0
2017-05-08,65.346,65.559,65.032,65.329,1686800,0.0,0.0
2017-05-09,65.236,65.517,65.091,65.312,1386700,0.0,0.0
2017-05-10,65.287,65.729,65.151,65.593,1327300,0.0,0.0
2017-05-11,65.338,65.661,64.904,65.542,1828700,0.0,0.0
2017-05-12,65.125,65.61,65.04,65.244,1825700,0.0,0.0
2017-05-15,65.627,65.721,65.278,65.491,1840800,0.0,0.0
2017-05-16,65.831,65.831,65.1,65.721,1478100,0.0,0.0
2017-05-17,65.721,65.721,64.759,64.819,2787200,0.0,0.0
2017-05-18,64.972,65.006,63.909,64.725,2940000,0.0,0.0
2017-05-19,65.04,66.529,65.032,66.376,3142600,0.0,0.0
2017-05-22,66.461,66.75,65.891,66.112,2589300,0.0,0.0
2017-05-23,66.24,66.308,65.797,66.07,2296200,0.0,0.0
2017-05-24,66.053,66.368,65.695,66.002,1282900,0.0,0.0
2017-05-25,66.299,66.597,65.517,65.78,1753200,0.0,0.0
2017-05-26,65.755,66.129,65.602,65.993,1063000,0.0,0.0
2017-05-30,65.917,66.206,65.619,66.129,1023400,0.0,0.0
2017-05-31,65.78,66.708,65.287,65.84,1659000,0.0,0.0
2017-06-01,66.282,66.853,65.738,66.436,1800100,0.0,0.0
2017-06-02,66.538,66.887,66.104,66.265,1868900,0.0,0.0
2017-06-05,66.257,66.299,65.312,65.321,2583200,0.0,0.0
2017-06-06,65.04,65.287,64.734,64.947,1924300,0.0,0.0
2017-06-07,65.091,65.091,63.185,63.772,3520700,0.0,0.0
2017-06-08,63.772,64.334,63.475,64.215,3669900,0.0,0.0
2017-06-09,64.419,64.623,64.053,64.445,2882000,0.0,0.0
2017-06-12,64.445,64.844,64.206,64.47,1706500,0.0,0.0
2017-06-13,64.615,64.921,64.257,64.759,1397500,0.0,0.0
2017-06-14,64.904,64.938,63.679,64.104,2320000,0.0,0.0
2017-06-15,63.355,65.117,63.33,64.785,1946000,0.0,0.0
2017-06-16,64.972,65.559,64.853,65.346,2623800,0.0,0.0
2017-06-19,65.755,66.725,65.721,66.427,2505800,0.0,0.0
2017-06-20,66.087,66.24,65.517,65.568,1796700,0.0,0.0
2017-06-21,65.721,65.84,64.462,64.598,1702900,0.0,0.0
2017-06-22,64.657,65.023,64.419,64.47,1946600,0.0,0.0
2017-06-23,64.53,65.457,64.376,65.415,2995800,0.0,0.0
2017-06-26,65.636,66.036,64.921,65.321,1415600,0.0,0.0
2017-06-27,65.253,65.466,64.793,65.032,1642000,0.0,0.0
2017-06-28,65.517,66.061,65.329,65.891,1608600,0.0,0.0
2017-06-29,66.019,66.368,64.666,65.202,1751300,0.0,0.0
2017-06-30,65.432,66.64,65.398,66.223,1843600,0.0,0.0
2017-07-03,66.682,67.023,66.121,66.665,1386800,0.0,0.0
2017-07-05,66.648,67.099,66.368,66.904,1892700,0.0,0.0
2017-07-06,66.64,67.201,66.589,66.835,1923400,0.0,0.0
2017-07-07,66.836,67.984,66.665,67.525,1934300,0.0,0.0
2017-07-10,67.457,68.775,67.457,68.41,2238500,0.0,0.0
2017-07-11,68.325,68.495,67.618,68.452,2314200,0.0,0.0
2017-07-12,68.741,69.456,68.478,68.503,1843400,0.0,0.0
2017-07-13,68.418,68.656,68.018,68.342,1857200,0.0,0.0
2017-07-14,68.512,68.792,68.393,68.588,1683300,0.0,0.0
2017-07-17,68.478,68.52,68.12,68.248,1807900,0.0,0.0
2017-07-18,68.214,68.265,67.754,68.265,1583500,0.0,0.0
2017-07-19,68.444,68.58,67.882,68.393,1758300,0.0,0.0
2017-07-20,68.342,68.359,67.669,67.695,1530100,0.0,0.0
2017-07-21,67.38,67.567,66.674,67.193,2436400,0.0,0.0
2017-07-24,67.218,67.312,66.776,66.921,1786900,0.0,0.0
2017-07-25,67.644,67.72,66.997,67.499,2311800,0.0,0.0
2017-07-26,67.516,67.516,66.801,67.218,1821900,0.0,0.0
2017-07-27,67.312,67.372,66.325,66.784,2638700,0.0,0.0
2017-07-28,66.75,66.87,66.044,66.733,1734900,0.0,0.0
2017-07-31,66.733,67.286,66.24,66.58,3669200,0.0,0.0
2017-08-01,64.232,64.232,61.398,63.185,10716900,0.0,0.0
2017-08-02,62.962,63.854,62.714,63.563,5824300,0.6,0.0
2017-08-03,63.391,63.46,62.593,63.142,4533300,0.0,0.0
2017-08-04,63.202,63.966,63.142,63.932,2778300,0.0,0.0
2017-08-07,63.271,63.854,63.202,63.468,3197300,0.0,0.0
2017-08-08,63.228,63.734,62.551,62.611,4769700,0.0,0.0
2017-08-09,62.422,62.937,62.327,62.739,3167300,0.0,0.0
2017-08-10,62.525,62.593,61.427,61.461,2704400,0.0,0.0
2017-08-11,61.538,61.701,61.229,61.315,1294700,0.0,0.0
2017-08-14,61.924,62.259,61.607,62.173,2032900,0.0,0.0
2017-08-15,62.139,62.525,61.864,62.027,1973900,0.0,0.0
2017-08-16,62.216,62.568,62.139,62.336,2103300,0.0,0.0
2017-08-17,61.35,62.345,61.307,61.521,4160600,0.0,0.0
2017-08-18,61.435,61.736,61.075,61.075,2261100,0.0,0.0
2017-08-21,61.015,61.238,60.638,61.024,2134100,0.0,0.0
2017-08-22,61.169,61.856,61.075,61.676,2317400,0.0,0.0
2017-08-23,61.272,61.547,61.006,61.084,1182800,0.0,0.0
2017-08-24,61.221,61.221,60.5,60.595,2530300,0.0,0.0
2017-08-25,60.938,61.049,60.543,60.646,1734700,0.0,0.0
2017-08-28,60.886,61.024,60.26,60.423,1319900,0.0,0.0
2017-08-29,60.183,60.646,59.891,60.492,2684800,0.0,0.0
2017-08-30,60.475,61.041,60.466,60.946,2561600,0.0,0.0
