Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,105.22,106.527,103.877,105.128,233900,0.0,0.0
2017-01-04,105.285,107.528,105.165,107.464,363500,0.0,0.0
2017-01-05,105.832,107.065,102.996,103.265,467600,0.0,0.0
2017-01-06,102.95,105.035,102.885,103.737,276600,0.0,0.0
2017-01-09,103.07,103.172,102.023,102.18,269600,0.0,0.0
2017-01-10,102.672,105.202,102.356,104.275,305900,0.0,0.0
2017-01-11,104.637,106.453,104.562,106.129,290600,0.0,0.0
2017-01-12,105.832,105.832,101.856,104.053,319900,0.0,0.0
2017-01-13,104.618,106.036,104.294,105.258,253400,0.0,0.0
2017-01-17,104.219,104.674,102.653,103.265,180300,0.0,0.0
2017-01-18,103.367,104.498,102.959,103.673,268500,0.0,0.0
2017-01-19,103.83,104.155,102.764,103.506,173400,0.0,0.0
2017-01-20,103.506,104.321,102.848,103.209,172100,0.0,0.0
2017-01-23,103.07,104.21,102.338,103.293,138700,0.0,0.0
2017-01-24,103.923,105.693,103.515,105.424,188900,0.0,0.0
2017-01-25,106.11,107.371,103.886,107.13,191700,0.0,0.0
2017-01-26,107.325,107.325,106.166,106.824,213300,0.0,0.0
2017-01-27,107.13,107.241,105.322,106.565,221600,0.0,0.0
2017-01-30,105.74,106.435,103.821,106.286,212500,0.0,0.0
2017-01-31,105.906,106.833,104.071,105.23,390800,0.0,0.0
2017-02-01,106.657,107.352,104.025,105.424,293000,0.0,0.0
2017-02-02,105.526,105.591,104.043,105.063,202400,0.0,0.0
2017-02-03,105.981,106.982,105.072,106.833,148100,0.0,0.0
2017-02-06,106.286,107.028,104.405,105.712,177300,0.0,0.0
2017-02-07,105.804,106.055,104.368,105.23,194400,0.0,0.0
2017-02-08,105.072,106.036,104.525,105.341,133300,0.0,0.0
2017-02-09,105.916,106.778,105.239,106.518,252700,0.0,0.0
2017-02-10,106.629,108.066,106.314,107.955,206200,0.0,0.0
2017-02-13,108.446,109.373,107.946,108.567,279700,0.0,0.0
2017-02-14,108.363,108.363,107.213,108.001,155500,0.0,0.0
2017-02-15,108.576,111.598,108.576,111.162,363800,0.0,0.0
2017-02-16,109.453,112.323,109.425,110.716,240400,0.27,0.0
2017-02-17,110.205,111.682,109.638,111.431,291200,0.0,0.0
2017-02-21,111.942,112.156,109.499,111.515,670800,0.0,0.0
2017-02-22,110.837,111.877,109.703,111.766,225700,0.0,0.0
2017-02-23,112.37,112.37,109.806,110.725,306300,0.0,0.0
2017-02-24,109.629,112.202,109.629,112.035,240100,0.0,0.0
2017-02-27,111.794,113.298,111.468,113.085,239000,0.0,0.0
2017-02-28,112.778,113.168,111.487,111.515,342400,0.0,0.0
2017-03-01,113.15,115.937,113.15,115.853,377400,0.0,0.0
2017-03-02,115.593,115.593,113.8,114.961,640700,0.0,0.0
2017-03-03,115.156,116.225,115.017,116.15,386200,0.0,0.0
2017-03-06,115.249,116.076,114.274,115.918,224200,0.0,0.0
2017-03-07,115.686,115.983,114.376,115.537,186200,0.0,0.0
2017-03-08,115.853,116.243,115.036,115.379,205500,0.0,0.0
2017-03-09,115.194,115.872,114.766,115.129,402800,0.0,0.0
2017-03-10,115.667,116.169,113.912,115.454,254500,0.0,0.0
2017-03-13,115.454,117.014,115.249,116.94,270800,0.0,0.0
2017-03-14,116.457,116.726,115.612,116.364,119800,0.0,0.0
2017-03-15,117.107,118.092,116.123,117.823,301300,0.0,0.0
2017-03-16,118.445,118.445,116.996,117.776,157200,0.0,0.0
2017-03-17,117.72,117.72,116.327,117.256,626500,0.0,0.0
2017-03-20,116.884,117.47,116.039,116.364,118600,0.0,0.0
2017-03-21,116.838,116.931,113.122,113.391,257800,0.0,0.0
